"Reference","Qty","DNP","MANUFACTURER"
"BT1","1","","485-1769 "
"BZ1","1","","CMT-8504-100-SMT-TR "
"C1","1","","GRM155R71C104JA88D"
"C2","1","","GRM155C81A105KA12J"
"C3","1","","GRM155R71C104JA88D"
"C4","1","","GRM158C80G226ME01J"
"C5","1","","GRM155R71C104JA88D"
"C6","1","","GRM155C81A105KA12J"
"C7","1","","GRM155C81A105KA12J"
"C8","1","","GRM155C81A105KA12J"
"C9","1","","GRM155C81A105KA12J"
"C10","1","","GRM155C81A105KA12J"
"C11","1","","GRM155C81A105KA12J"
"C20","1","","GRM155R60G475ME47D"
"C21","1","","GRM155R60G475ME47D"
"D1","1","","RB168MM-30TR"
"D2","1","","RB168MM-30TR"
"D3","1","","LTST-S270KRKT"
"D4","1","","LTST-S270KRKT"
"D5","1","","LTST-S270KRKT"
"D6","1","","LTST-S270KRKT"
"D7","1","","LTST-S270KRKT"
"D8","1","","RB168MM-30TR"
"MCP73831T1","1",""," MCP73831T-2ACI/OT "
"Q2","1","","BC547"
"R1","1","","ERJ-2RKF7503X"
"R2","1","","ERA-2AED512X"
"R3","1","","ERA-2AED104X"
"R4","1","","ERA-2AED512X"
"R5","1","","ERA-2AED512X"
"R6","1","","ERA-2AED512X"
"R7","1","","ERA-2AED512X"
"R8","1","","RT0402DRE07180RL"
"R9","1","","ERA-2AED202X"
"R10","1","","ERA-2AED512X"
"R11","1","","ERA-2AED512X"
"R12","1","","ERA-2AED471X"
"R14","1","","ERA-2AED512X"
"S1","1","","JS102011JAQN"
"SW1","1","","434133025816 "
"SW2","1","","434133025816 "
"U1","1",""," ESP32-S3-MINI-1-N8 "
"U2","1",""," LP5907MFX-3.3/NOPB "
"U3","1",""," LP5907MFX-2.5/NOPB "
"U4","1","","TXB0108RGYR "
"USB4105-GF-A1","1",""," USB4105-GF-A-120 "
