"Reference","Qty","DNP","MANUFACTURER"
"BT1","1","","485-1769 "
"BZ1","1","","CMT-8504-100-SMT-TR "
"C1,C3,C5","3","","GRM155R71C104JA88D"
"C2,C6,C7,C8,C9,C10,C11","7","","GRM155C81A105KA12J"
"C4","1","","GRM158C80G226ME01J"
"C20,C21","2","","GRM155R60G475ME47D"
"D1,D2,D8","3","","RB168MM-30TR"
"D3","1","","LTST-S270KRKT"
"D4,D5,D6,D7","4","","LTST-S270KRKT"
"MCP73831T1,SW1,SW2,USB4105-GF-A1","4","","-- mixed values --"
"Q2","1","","BC547"
"R1,R2,R10,R11","4","","-- mixed values --"
"R3,R14","2","","-- mixed values --"
"R4,R5,R6,R7","4","","ERA-2AED512X"
"R8","1","","RT0402DRE07180RL"
"R9","1","","ERA-2AED202X"
"R12","1","","ERA-2AED471X"
"S1","1","","JS102011JAQN"
"U1","1",""," ESP32-S3-MINI-1-N8 "
"U2","1",""," LP5907MFX-3.3/NOPB "
"U3","1",""," LP5907MFX-2.5/NOPB "
"U4","1","","TXB0108RGYR "
